06:38:09 [INFO] Starting ZIM Audio Player
06:38:09 [INFO] Scanning directory for audio files...
06:38:14 [INFO] AIFF loaded: 88200 Hz, 1 channels, 18473472 samples, calculated duration: Some(209.449795918s)
06:38:14 [INFO] AIFF duration: 209.45 seconds
06:38:15 [INFO] Audio telemetry enabled for slew gate and VC control debugging
06:38:15 [INFO] Audio telemetry enabled - press 't' again to disable
06:38:15 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.005->0.005 Δ-0.001 smooth:false] R[0.005->0.005 Δ-0.001 smooth:false] decay:0.99
06:38:15 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.003 scaled:0.005 final:0.005 format:mono rate:88200Hz pos:0.5%
06:38:15 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.135->0.125 Δ-0.009 smooth:false] R[0.135->0.125 Δ-0.009 smooth:false] decay:0.99
06:38:15 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.064 scaled:0.128 final:0.128 format:mono rate:88200Hz pos:0.5%
06:38:15 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.048->0.042 Δ-0.006 smooth:false] R[0.048->0.042 Δ-0.006 smooth:false] decay:0.99
06:38:15 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.022 scaled:0.043 final:0.043 format:mono rate:88200Hz pos:0.5%
06:38:15 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.017->0.017 Δ-0.000 smooth:false] R[0.017->0.017 Δ-0.000 smooth:false] decay:0.99
06:38:15 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.009 scaled:0.017 final:0.017 format:mono rate:88200Hz pos:0.6%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.020->0.020 Δ-0.000 smooth:false] R[0.020->0.020 Δ-0.000 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.010 scaled:0.020 final:0.020 format:mono rate:88200Hz pos:0.6%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.033->0.028 Δ-0.004 smooth:false] R[0.033->0.028 Δ-0.004 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.014 scaled:0.029 final:0.029 format:mono rate:88200Hz pos:0.7%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.006->0.005 Δ-0.001 smooth:false] R[0.006->0.005 Δ-0.001 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.002 scaled:0.005 final:0.005 format:mono rate:88200Hz pos:0.7%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ-0.000 smooth:false] R[0.001->0.001 Δ-0.000 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.001 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:0.8%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.001 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:0.8%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.106->0.076 Δ-0.030 smooth:true] R[0.106->0.076 Δ-0.030 smooth:true] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.039 scaled:0.077 final:0.077 format:mono rate:88200Hz pos:0.9%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.027->0.024 Δ-0.003 smooth:false] R[0.027->0.024 Δ-0.003 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.012 scaled:0.025 final:0.025 format:mono rate:88200Hz pos:0.9%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.014->0.015 Δ0.001 smooth:false] R[0.014->0.015 Δ0.001 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.008 scaled:0.015 final:0.015 format:mono rate:88200Hz pos:1.0%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.014->0.014 Δ0.000 smooth:false] R[0.014->0.014 Δ0.000 smooth:false] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.007 scaled:0.015 final:0.015 format:mono rate:88200Hz pos:1.0%
06:38:16 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.010->0.020 Δ0.010 smooth:true] R[0.010->0.020 Δ0.010 smooth:true] decay:0.99
06:38:16 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.010 scaled:0.020 final:0.020 format:mono rate:88200Hz pos:1.1%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.043->0.043 Δ-0.000 smooth:false] R[0.043->0.043 Δ-0.000 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.022 scaled:0.044 final:0.044 format:mono rate:88200Hz pos:1.1%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.037->0.036 Δ-0.001 smooth:false] R[0.037->0.036 Δ-0.001 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.019 scaled:0.037 final:0.037 format:mono rate:88200Hz pos:1.2%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.018->0.016 Δ-0.002 smooth:false] R[0.018->0.016 Δ-0.002 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.008 scaled:0.016 final:0.016 format:mono rate:88200Hz pos:1.2%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.005->0.004 Δ-0.001 smooth:false] R[0.005->0.004 Δ-0.001 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.002 scaled:0.004 final:0.004 format:mono rate:88200Hz pos:1.3%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ-0.000 smooth:false] R[0.001->0.001 Δ-0.000 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.001 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:1.3%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:1.4%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:1.4%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:1.5%
06:38:17 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.166->0.158 Δ-0.008 smooth:false] R[0.166->0.158 Δ-0.008 smooth:false] decay:0.99
06:38:17 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.081 scaled:0.161 final:0.161 format:mono rate:88200Hz pos:1.5%
06:38:23 [INFO] Playing AIFF from sample: 730362
06:38:23 [INFO] Seek to sample 730362 (3%)
06:38:23 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.124->0.117 Δ-0.007 smooth:false] R[0.124->0.117 Δ-0.007 smooth:false] decay:0.99
06:38:23 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.060 scaled:0.120 final:0.120 format:mono rate:88200Hz pos:1.6%
06:38:28 [INFO] Playing AIFF from sample: 1171737
06:38:28 [INFO] Seek to sample 1171737 (6%)
06:38:28 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.109->0.108 Δ-0.001 smooth:false] R[0.109->0.108 Δ-0.001 smooth:false] decay:0.99
06:38:28 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:0 rms:0.000 scaled:0.000 final:0.000 format:unknown rate:0Hz pos:6.3%
06:38:33 [INFO] Playing AIFF from sample: 1612737
06:38:33 [INFO] Seek to sample 1612737 (8%)
06:38:33 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.108->0.107 Δ-0.001 smooth:false] R[0.108->0.107 Δ-0.001 smooth:false] decay:0.99
06:38:33 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:0 rms:0.000 scaled:0.000 final:0.000 format:unknown rate:0Hz pos:8.7%
06:38:38 [INFO] Playing AIFF from sample: 2053737
06:38:38 [INFO] Seek to sample 2053737 (11%)
06:38:38 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.107->0.106 Δ-0.001 smooth:false] R[0.107->0.106 Δ-0.001 smooth:false] decay:0.99
06:38:38 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:0 rms:0.000 scaled:0.000 final:0.000 format:unknown rate:0Hz pos:11.1%
